FRS_ID,TRI_FACILITY_ID
110006006589,47102KLMRPRT1ST
110017414038,48054DTRTD4505K
110000434138,60609MNLYL4435S
110000408826,49007ZNSYS2204R
110042065537,60652FRTHW7575S
110001320749,60620NTNLC601W8
110001285573,60516FRNKJ8101S
110000825803,44144PLSTC9921C
110000390247,44601SMRCN16123
110002121686,54402MRMTC410SB
110000381435,43025CNCRP85HIG
110009373141,60650LYMPC5000W
110000409308,49078PRKRH300PA
110000399159,46526STLLT1201E
110000772771,60160LBLNN15THB
110000399104,46526DRYFR1110S
110000714433,60434MTHSNMANHA
110017406396,56601PTLTCRT3BO
110000436779,61073WRNRLHIGHW
110000494705,61341MRSLL1401B
110000392236,45015CNNCT3501S
110000396642,46161FRDNB487WM
110000388526,44203RTRDR1055W
110001505675,60632TRLLS2959W
110056965565,62239VRTXCEASTC
110040879760,56352CRSTN733WM
110000395091,45601CCRTP90COL
110000387965,44139RCPRD34600
110000412358,49858DDNGS16101
110010829871,62048CNCNC2150S
110001295447,48060RVRSD2401T
110000433059,60452DHRNC16420
110000433424,60506BRDNN1019J
110002451506,48026VNTRN18600
110000412143,49684NTDTC1110W
110002354639,46517CRWNN1718W
110000744650,60501RGTRM8800W
110000397605,46268CHMCN5850W
110000422640,54656FRMST427EW
110000383264,43420WDBRD827GR
110000402092,47172SVNDN2100F
110000383530,43512KSTRM1441Q
110000792544,46203PRCSN5620E
110000394243,45356TRMRK8585I
110042001605,47170KKKST1010W
110000420688,54002DNLDS980LO
110003051633,60048TYCLC844ER
110000494037,48212FTZGR17450
110040097141,60176NCHRM9355B
110000419725,53545RTHMF2505F
110002121132,53223LNCRP8900W
110031249691,43812MFMBL525OR
110004588875,44053FRSTN7107W
110015870912,56001HNYMD2060S
110000397856,46312NTNLB5222I
110000396214,46041FDRLMSTATE
110006235038,45015PLSTN39STA
110000383371,43502BLJXN125TA
110000434334,60617CRGLL12201
110013285113,49022JLFRN1500E
110000439749,62801RCKWL4002I
110001384305,60090THLLN301WH
110002034879,54009FDRYPBOX27
110002126164,61244THVLS2500E
110008447608,49047SLDPW51241
110001226272,61802GRDNW601GU
110000405446,48101HBLNN2500E
110000418441,53207PLTNC148WD
110000850516,44310RHRBB1310D
110003071283,46750FRCTN1849E
110000385878,44077CTYFP325RI
110002111624,44312HNCRN2181K
110000594526,55358SNPTN400HW
