FRS_ID,TRI_FACILITY_ID,GHG_ID
110025400046,6136WNVBFL614SH,1010538
110000389213,44301BFGDR240WE,1004615
110018359364,62286SPRTN510EM,1009864
110055027331,48686DWCRN3901S,1002166
110000401761,46992WBSHLOLDUS,1001721
110041189923,61832LHFFG321EA,1005954
110000395260,45661SDPRT3930U,1003709
110056956281,62707CTYWT3100S,1001529
110023153969,53563NTDTH125CH,1006138
110000412330,49854MNSTQ453SM,1005073
110043807538,6204WGTWYN2585E,1003204
110013399072,48723MCHGN1551E,1004584
110012145507,55926GRTRV68435,1001165
110000405945,48161NRTHS3000E,1004411
110000422141,54474WYRHS200GR,1005345
110000405696,48134MZDMT1MAZD,1001722
110000399462,46552NTKXX30755,1003581
110000421552,54303WSTRN101JA,1002724
110000381845,43105HPPRB310WA,1001671
110056964030,49855PRSQS2701L,1000680
110001986218,43435MLLRS3964C,1007289
110000392673,45067MLLRB2525W,1002904
110000382666,43228KLKNF5115F,1010654
110038104654,6044WPRRPC46GIB,1004260
110000400575,46750SLTKN701NB,1005592
110013294087,53511RVRSD141WB,1000136
110008694975,56176LKFLD21592,1000203
110037103675,4671WLXNLL139SU,1010531
110000423364,54936MRCRYW6250,1003063
110000423667,55016MCHMLHIGHW,1004836
110007384534,4343WNTDST121LA,1006123
110000383166,43410WHRLP119BI,1006126
110000404205,47903SBRSZ5500S,1004155
110007602095,56721MRCNCHIGHW,1005751
110000394261,45365CRGLL2400I,1005694
110000419299,53233VLLYP1035W,1006631
110000747924,47635RCKPR2791N,1001037
110000406267,48183DTRTD4695W,1000679
110006166139,61327LLNVCRR1XX,1001525
110041120578,44622DVRLG303EB,1006663
110005926338,61821HDSNT342NM,1002695
110058558010,46368MRCNR6300U,1001620
110007362255,46402MRBLHCLARK,1004187
110013297823,61081STRLN101AV,1006269
110056968651,4804WMRYSV251BU,1001809
110011570193,60409CDRCY138TH,1008012
110028090606,47955SLNDN23W11,1006245
110037269826,6123WPTRTR11PAT,1006469
110037144747,62237GTWYM1311Z,1001683
110000550298,5390WCRDNL165MH,1005358
110043787408,48667THDWCMICHI,1001826
110043787408,48667THDWCMICHI,1010380
110027242320,43920VNRLL1250S,1001897
110018042562,60064BBTTLINTER,1002983
110000404296,47905LLLLYLILLY,1004833
110000407202,48239DTRTD13400,1006281
110000385896,44077LBRZL155FR,1000618
110000427422,56537TTRTL1012W,1000694
110000432933,60441WLLCN529ER,1001523
110001843694,49224NDRSN2625B,1007933
110039561756,4631WRCLRM33DIC,1005021
110017300678,60566MCRSRWARRE,1010418
110017300678,60566MCRSRWARRE,1006259
110012566927,44704LTVST26338,1003799
110056623471,56187SPCNCPOBOX,1005624
110000606158,61025PHNXC16675,1005502
110000407685,48601GMCSG3900H,1005754
110000438036,61554PKNNR1300S,1000413
110000594919,56716MRCNCHIGHW,1006354
110000398374,46402SSGRYONENO,1000418
110037973574,62634LKHRTELKHA,1008388
110000422560,54610DRYLN500OL,1000988
110018853409,56055NRTHS19249,1005020
110054816703,4562WHVRHL2446G,1002777
110031262185,4737WPRMRT1542S,1005853
110002114729,46236GBCKD10640,1011871
110009822102,4371WMRCNN43521,1010106
110014365588,5475WCRDNL22STK,1005558
110000741920,45144DYTNP745US,1000849
110000498710,43055WNSCRCASEA,1002145
110000405767,48150FRDMT36200,1002753
110000423453,54956NNHFN2121B,1004885
110000398338,46394MCLCX2815I,1007339
110017866727,47620NDNFR1200R,1005899
110000410314,49401LPRNF4700R,1005220
110000408531,48901LNSNG601IS,1000682
110016755304,43515NRTHS6767C,1005163
110000416871,53082DGWTR3739L,1000983
110000396991,46217NDNPL3700S,1001533
110000427128,56258MNNST400WE,1001945
110000592831,47882MRMGNHWY54,1006549
110005843338,62223CNTRY1300N,1010659
110000592154,46360NRTHRWABAS,1001539
110037115680,4739WCRDNL1554N,1002882
110000396349,46060PSNBL21225,1001542
110000389847,44481WRRNW1040P,1000177
110030900997,45714SHLLC2982W,1000032
110000497105,46624LLDSG3520W,1011787
110000406837,48215CHRYL2101C,1005551
110017422467,49876CHMPNUSHIG,1001892
110000401725,46992CNTNR455WE,1000427
110000397883,46312SFTYK601RI,1003276
110000850534,45209RCKTN3347M,1002016
110000396946,46206LLSNT4700W,1000048
110001680823,48192WYNDT2555V,1008434
110000385173,44012FRSTN33570,1000843
110000595348,60439NCLCR135TH,1000343
110000438027,61554NCRNC13082,1001521
110033595152,43469MRTNM755LI,1004097
110001814797,60538THDLC2000A,1007782
110009629599,44667CTYFR1100P,1003263
110000566245,48117GRDNN14600,1002905
